financial_id,company_id,company_name,reporting_period,reporting_year,reporting_quarter,revenue,revenue_currency,gross_profit,gross_margin_percent,ebitda,ebitda_margin_percent,net_income,net_income_currency,total_assets,total_liabilities,shareholders_equity,cash_and_equivalents,accounts_receivable,inventory,accounts_payable,debt_total,debt_current,debt_long_term,capex,free_cash_flow,working_capital,employees_count,created_date,last_modified_date,PM_FINANCIAL_ID,CANONICAL_FINANCIAL_ID,CANONICAL_COMPANY_ID
FIN-001,COMP-001,TechFlow Solutions,Q3 2022,2022,3,18750000,USD,15000000,80.0,3750000,20.0,2250000,USD,25000000,8750000,16250000,5000000,2500000,0,1250000,0,0,0,625000,3125000,1250000,245,2022-10-15,2022-10-15,FIN-001,e8638852-9ac7-5c9b-b675-86960d4659ca,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
FIN-002,COMP-001,TechFlow Solutions,Q4 2022,2022,4,21250000,USD,17000000,80.0,4250000,20.0,2550000,USD,28750000,10000000,18750000,6250000,2875000,0,1437500,0,0,0,712500,3537500,1437500,258,2023-01-15,2023-01-15,FIN-002,fd9fa599-daad-505b-9a18-c40a6f093bbe,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
FIN-003,COMP-001,TechFlow Solutions,Q1 2023,2023,1,23750000,USD,19000000,80.0,4750000,20.0,2850000,USD,32500000,11250000,21250000,7500000,3250000,0,1625000,0,0,0,800000,3950000,1625000,272,2023-04-15,2023-04-15,FIN-003,2a07ce4d-f992-5a6e-8e30-f1a9d075dd0f,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
FIN-004,COMP-001,TechFlow Solutions,Q2 2023,2023,2,26250000,USD,21000000,80.0,5250000,20.0,3150000,USD,36250000,12500000,23750000,8750000,3625000,0,1812500,0,0,0,887500,4362500,1812500,285,2023-07-15,2023-07-15,FIN-004,2c663d57-4bd1-5fc7-a5cf-9d7b77d95363,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
FIN-005,COMP-001,TechFlow Solutions,Q3 2023,2023,3,28750000,USD,23000000,80.0,5750000,20.0,3450000,USD,40000000,13750000,26250000,10000000,4000000,0,2000000,0,0,0,975000,4775000,2000000,298,2023-10-15,2023-10-15,FIN-005,ec4ab615-fe90-5130-913c-5c2952176db7,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
FIN-006,COMP-004,RetailMax Holdings,Q4 2022,2022,4,62500000,USD,25000000,40.0,7500000,12.0,3750000,USD,125000000,62500000,62500000,12500000,8750000,18750000,6250000,25000000,5000000,20000000,3125000,4375000,21250000,1250,2023-01-15,2023-01-15,FIN-006,2f76200f-8120-5d4c-91fb-531e0fb5a90a,26564e00-966c-539c-be45-3832d0ed274b
FIN-007,COMP-004,RetailMax Holdings,Q1 2023,2023,1,68750000,USD,27500000,40.0,8250000,12.0,4125000,USD,137500000,68750000,68750000,13750000,9625000,20625000,6875000,27500000,5500000,22000000,3437500,4812500,23375000,1275,2023-04-15,2023-04-15,FIN-007,4bc017d3-89fd-5286-b3c8-ec12d1567b8a,26564e00-966c-539c-be45-3832d0ed274b
FIN-008,COMP-004,RetailMax Holdings,Q2 2023,2023,2,75000000,USD,30000000,40.0,9000000,12.0,4500000,USD,150000000,75000000,75000000,15000000,10500000,22500000,7500000,30000000,6000000,24000000,3750000,5250000,25500000,1300,2023-07-15,2023-07-15,FIN-008,56d3c50e-d420-5993-b266-27bd6786b773,26564e00-966c-539c-be45-3832d0ed274b
FIN-009,COMP-004,RetailMax Holdings,Q3 2023,2023,3,81250000,USD,32500000,40.0,9750000,12.0,4875000,USD,162500000,81250000,81250000,16250000,11375000,24375000,8125000,32500000,6500000,26000000,4062500,5687500,27625000,1325,2023-10-15,2023-10-15,FIN-009,862b0ae2-3f99-5cb6-beed-45d933c5b5dc,26564e00-966c-539c-be45-3832d0ed274b
FIN-010,COMP-011,CloudSoft Systems,Q2 2023,2023,2,22500000,USD,18000000,80.0,4500000,20.0,2700000,USD,37500000,15000000,22500000,7500000,3375000,0,1687500,0,0,0,1125000,3375000,1687500,310,2023-07-15,2023-07-15,FIN-010,e9ce12ea-fb74-5420-817e-fb48fbdd6328,a6d960ae-207a-5567-8d2b-2c73693d9b71
FIN-011,COMP-011,CloudSoft Systems,Q3 2023,2023,3,25000000,USD,20000000,80.0,5000000,20.0,3000000,USD,41250000,16500000,24750000,8250000,3750000,0,1875000,0,0,0,1250000,3750000,1875000,325,2023-10-15,2023-10-15,FIN-011,f7513d78-112c-5aa8-a62a-31fb10327881,a6d960ae-207a-5567-8d2b-2c73693d9b71
FIN-012,COMP-011,CloudSoft Systems,Q4 2023,2023,4,27500000,USD,22000000,80.0,5500000,20.0,3300000,USD,45000000,18000000,27000000,9000000,4125000,0,2062500,0,0,0,1375000,4125000,2062500,340,2024-01-15,2024-01-15,FIN-012,e634e409-9882-5f2a-bbf1-af66c18f884e,a6d960ae-207a-5567-8d2b-2c73693d9b71
FIN-013,COMP-002,MedDevice Innovations,Q3 2022,2022,3,9375000,EUR,5625000,60.0,1875000,20.0,937500,EUR,18750000,7500000,11250000,3750000,1406250,2812500,937500,3750000,750000,3000000,468750,1406250,2343750,180,2022-10-15,2022-10-15,FIN-013,916f3702-b9a9-558e-9f9f-41fb8c98bf55,973f92be-30df-5eef-b690-8123b249c8c3
FIN-014,COMP-002,MedDevice Innovations,Q4 2022,2022,4,10625000,EUR,6375000,60.0,2125000,20.0,1062500,EUR,21250000,8500000,12750000,4250000,1593750,3187500,1062500,4250000,850000,3400000,531250,1593750,2656250,185,2023-01-15,2023-01-15,FIN-014,cdf79124-f290-5c45-b491-cf2952add276,973f92be-30df-5eef-b690-8123b249c8c3
FIN-015,COMP-002,MedDevice Innovations,Q1 2023,2023,1,11875000,EUR,7125000,60.0,2375000,20.0,1187500,EUR,23750000,9500000,14250000,4750000,1781250,3562500,1187500,4750000,950000,3800000,593750,1781250,2968750,190,2023-04-15,2023-04-15,FIN-015,3d04ecb8-f505-5627-a1c7-d1a8ea355d1c,973f92be-30df-5eef-b690-8123b249c8c3
