metric_id,company_id,company_name,reporting_date,metric_category,metric_name,metric_value,metric_unit,benchmark_value,benchmark_source,variance_percent,trend_direction,notes,created_date,last_modified_date,PM_METRIC_ID,CANONICAL_METRIC_ID,CANONICAL_COMPANY_ID
MET-001,COMP-001,TechFlow Solutions,2023-03-31,Growth,Annual Recurring Revenue,95000000,USD,,N/A,,Up,Strong new customer acquisition and expansion,2023-04-15,2023-04-15,MET-001,8f0f2d05-a852-5186-b68d-f7c284d6caa1,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
MET-002,COMP-001,TechFlow Solutions,2023-03-31,Growth,ARR Growth Rate YoY,40.0,Percent,25.0,Industry Average,60.0,Up,Significantly outperforming industry benchmarks,2023-04-15,2023-04-15,MET-002,ad9a17c2-bc7a-562a-8110-aa7e67dcbb2d,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
MET-003,COMP-001,TechFlow Solutions,2023-03-31,Retention,Net Revenue Retention,125.0,Percent,110.0,SaaS Benchmark,13.6,Up,Strong upsell and cross-sell performance,2023-04-15,2023-04-15,MET-003,ba25bc60-0019-57bb-a768-2dab207cf893,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
MET-004,COMP-001,TechFlow Solutions,2023-03-31,Retention,Gross Revenue Retention,95.0,Percent,90.0,SaaS Benchmark,5.6,Stable,Low churn rate indicating strong product-market fit,2023-04-15,2023-04-15,MET-004,a6cb1ebf-512d-59b8-9f7f-3c7180500ba9,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
MET-005,COMP-001,TechFlow Solutions,2023-03-31,Efficiency,Customer Acquisition Cost,12500,USD,15000,Industry Average,-16.7,Down,Improving sales efficiency and marketing ROI,2023-04-15,2023-04-15,MET-005,294886f1-c8fb-5724-a129-cf9a107724da,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
MET-006,COMP-001,TechFlow Solutions,2023-03-31,Efficiency,LTV to CAC Ratio,7.6,Ratio,5.0,SaaS Benchmark,52.0,Up,Strong unit economics with healthy payback period,2023-04-15,2023-04-15,MET-006,964827ba-6c87-5ef0-97ca-f7d6c0b0acdf,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
MET-007,COMP-004,RetailMax Holdings,2023-03-31,Operations,Same Store Sales Growth,8.5,Percent,3.0,Retail Industry,183.3,Up,Outperforming retail industry averages,2023-04-15,2023-04-15,MET-007,3720b9ee-859a-558e-a00d-24cebb4a52d8,26564e00-966c-539c-be45-3832d0ed274b
MET-008,COMP-004,RetailMax Holdings,2023-03-31,Operations,Inventory Turnover,3.3,Times,4.2,Retail Industry,-21.4,Down,Working to optimize inventory management,2023-04-15,2023-04-15,MET-008,f0fdb7a0-3560-5a8b-a0a8-c428f27334b4,26564e00-966c-539c-be45-3832d0ed274b
MET-009,COMP-004,RetailMax Holdings,2023-03-31,Digital,E-commerce Penetration,22.0,Percent,15.0,Retail Industry,46.7,Up,Digital transformation showing strong results,2023-04-15,2023-04-15,MET-009,caa6318e-6047-5c48-a4d7-517e3e10dc32,26564e00-966c-539c-be45-3832d0ed274b
MET-010,COMP-004,RetailMax Holdings,2023-03-31,Efficiency,Sales per Square Foot,485,USD,425,Retail Industry,14.1,Up,Store productivity improvements from layout optimization,2023-04-15,2023-04-15,MET-010,bb4ae755-ac66-5321-917f-ef5046502406,26564e00-966c-539c-be45-3832d0ed274b
MET-011,COMP-011,CloudSoft Systems,2023-06-30,Growth,Annual Recurring Revenue,90000000,USD,,N/A,,Up,Strong enterprise customer base expansion,2023-07-15,2023-07-15,MET-011,14fe7d19-294b-54bf-8bf9-5fbe4e06189c,a6d960ae-207a-5567-8d2b-2c73693d9b71
MET-012,COMP-011,CloudSoft Systems,2023-06-30,Growth,ARR Growth Rate YoY,35.0,Percent,25.0,Enterprise Software,40.0,Up,Above average growth for enterprise software,2023-07-15,2023-07-15,MET-012,71e39c79-2218-59e3-aa6e-a6a6135df8ca,a6d960ae-207a-5567-8d2b-2c73693d9b71
MET-013,COMP-011,CloudSoft Systems,2023-06-30,Retention,Net Revenue Retention,118.0,Percent,110.0,Enterprise Software,7.3,Up,Strong expansion within existing customer base,2023-07-15,2023-07-15,MET-013,a080726e-6388-5c02-bd55-e0da2e15c2ba,a6d960ae-207a-5567-8d2b-2c73693d9b71
MET-014,COMP-011,CloudSoft Systems,2023-06-30,Efficiency,Customer Acquisition Cost,18750,USD,22500,Industry Average,-16.7,Down,Improving sales efficiency through channel partnerships,2023-07-15,2023-07-15,MET-014,f3e18f91-d858-5402-848d-8b6fd3c0cf26,a6d960ae-207a-5567-8d2b-2c73693d9b71
MET-015,COMP-002,MedDevice Innovations,2023-03-31,Regulatory,FDA Approvals Active,3,Count,,N/A,,Stable,Maintaining regulatory compliance across product line,2023-04-15,2023-04-15,MET-015,96814ad6-d9d1-5042-b057-09b74df31bb2,973f92be-30df-5eef-b690-8123b249c8c3
MET-016,COMP-002,MedDevice Innovations,2023-03-31,Market,Market Share,12.5,Percent,,N/A,,Up,Gaining share in cardiac monitoring segment,2023-04-15,2023-04-15,MET-016,f3a2d3a3-425e-515a-bca4-7662b81d5646,973f92be-30df-5eef-b690-8123b249c8c3
MET-017,COMP-002,MedDevice Innovations,2023-03-31,Quality,Product Return Rate,0.8,Percent,1.5,Industry Standard,-46.7,Down,Superior quality control and manufacturing processes,2023-04-15,2023-04-15,MET-017,9a54ae33-7180-5d1c-bcb8-eeca952c707e,973f92be-30df-5eef-b690-8123b249c8c3
MET-018,COMP-002,MedDevice Innovations,2023-03-31,Innovation,R&D Spend as % Revenue,15.0,Percent,12.0,MedTech Industry,25.0,Up,Above average investment in product development,2023-04-15,2023-04-15,MET-018,8032a9d5-2359-54b3-9fd5-e2c94b4a754c,973f92be-30df-5eef-b690-8123b249c8c3
