valuation_id,company_id,company_name,investment_id,valuation_date,valuation_method,enterprise_value,enterprise_value_currency,equity_value,equity_value_currency,revenue_multiple,ebitda_multiple,book_multiple,comparable_companies,discount_rate,terminal_growth_rate,valuation_notes,valuation_source,confidence_level,last_financing_round_valuation,last_financing_date,created_date,last_modified_date,PM_VALUATION_ID,CANONICAL_VALUATION_ID,CANONICAL_COMPANY_ID,CANONICAL_INVESTMENT_ID
VAL-001,COMP-001,TechFlow Solutions,PM-INV-001,2022-09-30,Market Multiple,175000000,USD,161250000,USD,8.5,45.0,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Strong SaaS metrics with 40% YoY growth and 90% gross margins,External Valuation,High,161250000,2022-08-15,2022-10-01,2022-10-01,VAL-001,583bb2f5-50db-5cbe-b388-a95e70cdf1a7,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,ef4deee7-aa2e-5204-96a0-ebbc642fbd50
VAL-002,COMP-001,TechFlow Solutions,PM-INV-001,2022-12-31,Market Multiple,187500000,USD,172500000,USD,8.8,44.1,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Continued strong performance with new customer wins,Internal Valuation,Medium,161250000,2022-08-15,2023-01-10,2023-01-10,VAL-002,99b8c053-aba1-5ecd-b5e0-eb4c13cad526,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,ef4deee7-aa2e-5204-96a0-ebbc642fbd50
VAL-003,COMP-001,TechFlow Solutions,PM-INV-001,2023-03-31,Market Multiple,200000000,USD,184000000,USD,9.2,42.1,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Market expansion and product enhancements driving growth,Internal Valuation,Medium,161250000,2022-08-15,2023-04-10,2023-04-10,VAL-003,32e0effb-5c3b-5f3a-ab39-867012c34785,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,ef4deee7-aa2e-5204-96a0-ebbc642fbd50
VAL-004,COMP-001,TechFlow Solutions,PM-INV-001,2023-06-30,Market Multiple,225000000,USD,207000000,USD,9.6,42.9,N/A,"Salesforce (CRM), ServiceNow (NOW), Workday (WDAY)",N/A,N/A,Strong Q2 results with accelerating ARR growth,Internal Valuation,Medium,161250000,2022-08-15,2023-07-10,2023-07-10,VAL-004,4d37340d-ee64-5c65-9a92-bc04e5927b17,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,ef4deee7-aa2e-5204-96a0-ebbc642fbd50
VAL-005,COMP-004,RetailMax Holdings,PM-INV-002,2022-12-31,DCF Analysis,125000000,USD,76875000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Omnichannel strategy showing early results,External Valuation,High,76875000,2022-11-20,2023-01-15,2023-01-15,VAL-005,a79261b4-323d-507b-91cb-7b90fb3407ef,26564e00-966c-539c-be45-3832d0ed274b,589d17ed-d63d-5142-91ff-292c9f09ca44
VAL-006,COMP-004,RetailMax Holdings,PM-INV-002,2023-03-31,DCF Analysis,137500000,USD,84375000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Same-store sales growth and margin expansion,Internal Valuation,Medium,76875000,2022-11-20,2023-04-15,2023-04-15,VAL-006,b718624c-01d3-5c51-93c3-b6f45cb5ce90,26564e00-966c-539c-be45-3832d0ed274b,589d17ed-d63d-5142-91ff-292c9f09ca44
VAL-007,COMP-004,RetailMax Holdings,PM-INV-002,2023-06-30,DCF Analysis,150000000,USD,92250000,USD,2.0,16.7,1.23,N/A,12.0,2.5,Digital transformation initiatives gaining traction,Internal Valuation,Medium,76875000,2022-11-20,2023-07-15,2023-07-15,VAL-007,256b62d9-8023-5ee6-8efc-2bdb987d0c51,26564e00-966c-539c-be45-3832d0ed274b,589d17ed-d63d-5142-91ff-292c9f09ca44
VAL-008,COMP-004,RetailMax Holdings,PM-INV-002,2023-09-30,DCF Analysis,162500000,USD,99937500,USD,2.0,16.7,1.23,N/A,12.0,2.5,Strong back-to-school season performance,Internal Valuation,Medium,76875000,2022-11-20,2023-10-15,2023-10-15,VAL-008,a819bee5-0766-50ef-9f75-e35e4fc1f195,26564e00-966c-539c-be45-3832d0ed274b,589d17ed-d63d-5142-91ff-292c9f09ca44
VAL-009,COMP-011,CloudSoft Systems,PM-INV-003,2023-06-30,Recent Transaction,65000000,USD,65000000,USD,2.9,14.4,N/A,N/A,N/A,N/A,Valuation based on recent investment transaction,Transaction-Based,High,65000000,2023-05-10,2023-07-01,2023-07-01,VAL-009,6c39c890-bd6b-56cc-b0dd-9f2ced4bfa59,a6d960ae-207a-5567-8d2b-2c73693d9b71,a9cc1d1e-06ac-5170-88ec-5b3be8a7d81c
VAL-010,COMP-011,CloudSoft Systems,PM-INV-003,2023-09-30,Market Multiple,71500000,USD,71500000,USD,2.9,14.3,N/A,"VMware (VMW), Citrix (CTXS), Nutanix (NTNX)",N/A,N/A,Cloud migration market tailwinds supporting valuation,Internal Valuation,Medium,65000000,2023-05-10,2023-10-15,2023-10-15,VAL-010,1f3c0d39-8898-566d-9e12-66113af74ebb,a6d960ae-207a-5567-8d2b-2c73693d9b71,a9cc1d1e-06ac-5170-88ec-5b3be8a7d81c
